
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-06-18 23:19:53 /api/ppdb/info ........................................................................... ~ 3s
  2026-06-18 23:19:57 /api/public/pengumuman ................................................................... ~ 8s
  2026-06-18 23:51:02 /api/public/pengumuman ............................................................... ~ 1.58ms
  2026-06-18 23:51:02 /api/public/pengumuman ............................................................. ~ 514.72ms
  2026-06-18 23:51:02 /api/public/pengumuman ................................................................... ~ 1s
  2026-06-18 23:51:03 /api/public/pengumuman ............................................................... ~ 0.35ms
  2026-06-19 00:26:40 /api/public/pengumuman ............................................................... ~ 0.27ms
  2026-06-19 00:29:44 /api/public/pengumuman ............................................................... ~ 2.04ms
  2026-06-19 00:29:44 /api/public/pengumuman ............................................................... ~ 0.08ms
  2026-06-19 00:37:30 /api/public/pengumuman ............................................................... ~ 1.01ms
  2026-06-19 00:39:11 /api/public/pengumuman ............................................................... ~ 1.02ms
  2026-06-19 00:39:11 /api/public/pengumuman ............................................................... ~ 0.12ms
  2026-06-19 00:39:11 /api/public/pengumuman ............................................................... ~ 0.07ms
  2026-06-19 00:39:11 /api/public/pengumuman ............................................................. ~ 518.36ms
  2026-06-19 00:40:12 /api/public/pengumuman ............................................................. ~ 511.51ms
  2026-06-19 00:40:12 /api/public/pengumuman ............................................................... ~ 0.30ms
  2026-06-19 00:40:12 /api/public/pengumuman ............................................................. ~ 517.01ms
  2026-06-19 00:40:12 /api/public/pengumuman ............................................................. ~ 516.32ms
  2026-06-19 00:40:38 /api/login ......................................................................... ~ 506.13ms
  2026-06-19 00:40:39 /api/login ............................................................................... ~ 4s
  2026-06-19 00:40:44 /api/audit-logs ...................................................................... ~ 1.49ms
  2026-06-19 00:40:44 /api/dashboard ..................................................................... ~ 509.04ms
  2026-06-19 00:40:44 /api/audit-logs .................................................................... ~ 507.16ms
  2026-06-19 00:40:45 /api/dashboard ....................................................................... ~ 3.73ms
  2026-06-19 00:40:45 /api/audit-logs .................................................................... ~ 515.59ms
  2026-06-19 00:40:45 /api/dashboard ........................................................................... ~ 1s
  2026-06-19 00:40:46 /api/audit-logs .......................................................................... ~ 1s
  2026-06-19 00:40:46 /api/dashboard ..................................................................... ~ 510.70ms
  2026-06-19 00:40:49 /api/profil-sekolah .................................................................. ~ 2.27ms
  2026-06-19 00:40:49 /api/profil-sekolah ................................................................ ~ 514.27ms
  2026-06-19 00:40:49 /api/profil-sekolah ...................................................................... ~ 1s
  2026-06-19 00:40:50 /api/profil-sekolah .................................................................. ~ 0.28ms
  2026-06-19 00:40:50 /api/tahun-ajaran .................................................................... ~ 1.44ms
  2026-06-19 00:40:51 /api/tahun-ajaran .................................................................. ~ 501.41ms
  2026-06-19 00:40:51 /api/tahun-ajaran .................................................................. ~ 503.00ms
  2026-06-19 00:40:51 /api/tahun-ajaran .................................................................. ~ 515.56ms
  2026-06-19 00:40:52 /api/pengumuman .................................................................... ~ 508.43ms
  2026-06-19 00:40:52 /api/pengumuman ...................................................................... ~ 0.30ms
  2026-06-19 00:40:52 /api/pengumuman .................................................................... ~ 503.14ms
  2026-06-19 00:40:53 /api/pengumuman ...................................................................... ~ 0.22ms
  2026-06-19 00:40:53 /api/guru .......................................................................... ~ 506.99ms
  2026-06-19 00:40:53 /api/guru ................................................................................ ~ 1s
  2026-06-19 00:40:54 /api/guru .......................................................................... ~ 511.04ms
  2026-06-19 00:40:54 /api/guru .......................................................................... ~ 516.05ms
  2026-06-19 00:40:55 /api/murid ......................................................................... ~ 517.85ms
  2026-06-19 00:40:55 /api/murid/stats ..................................................................... ~ 0.30ms
  2026-06-19 00:40:55 /api/murid ......................................................................... ~ 518.61ms
  2026-06-19 00:40:55 /api/murid/stats ................................................................... ~ 518.80ms
  2026-06-19 00:40:55 /api/murid ......................................................................... ~ 516.26ms
  2026-06-19 00:40:56 /api/murid/stats ................................................................... ~ 515.98ms
  2026-06-19 00:40:56 /api/murid ......................................................................... ~ 513.29ms
  2026-06-19 00:40:56 /api/kelas ......................................................................... ~ 512.82ms
  2026-06-19 00:40:57 /api/kelas/stats ................................................................... ~ 503.58ms
  2026-06-19 00:40:57 /api/guru .......................................................................... ~ 503.15ms
  2026-06-19 00:40:57 /api/kelas ......................................................................... ~ 507.19ms
  2026-06-19 00:40:57 /api/kelas/stats ................................................................... ~ 507.23ms
  2026-06-19 00:40:57 /api/guru ............................................................................ ~ 2.92ms
  2026-06-19 00:40:58 /api/murid/stats ................................................................... ~ 516.66ms
  2026-06-19 00:40:58 /api/kelas ............................................................................... ~ 1s
  2026-06-19 00:40:58 /api/kelas/stats ................................................................... ~ 505.03ms
  2026-06-19 00:40:59 /api/guru .......................................................................... ~ 518.91ms
  2026-06-19 00:40:59 /api/kelas ............................................................................... ~ 1s
  2026-06-19 00:40:59 /api/kelas/stats ................................................................... ~ 519.39ms
  2026-06-19 00:41:00 /api/mapel ......................................................................... ~ 524.00ms
  2026-06-19 00:41:00 /api/guru .......................................................................... ~ 523.76ms
  2026-06-19 00:41:00 /api/mapel ......................................................................... ~ 507.44ms
  2026-06-19 00:41:00 /api/guru .......................................................................... ~ 507.59ms
  2026-06-19 00:41:01 /api/guru .......................................................................... ~ 515.54ms
  2026-06-19 00:41:01 /api/mapel ......................................................................... ~ 515.67ms
  2026-06-19 00:41:01 /api/guru .......................................................................... ~ 504.39ms
  2026-06-19 00:41:02 /api/mapel ............................................................................... ~ 1s
  2026-06-19 00:41:02 /api/guru .......................................................................... ~ 504.00ms
  2026-06-19 00:41:03 /api/audit-logs .................................................................... ~ 508.79ms
  2026-06-19 00:41:03 /api/dashboard ..................................................................... ~ 507.31ms
  2026-06-19 00:41:03 /api/audit-logs .................................................................... ~ 509.35ms
  2026-06-19 00:41:04 /api/dashboard ....................................................................... ~ 2.44ms
  2026-06-19 00:41:04 /api/audit-logs .................................................................... ~ 507.16ms
  2026-06-19 00:41:04 /api/dashboard ..................................................................... ~ 507.00ms
  2026-06-19 00:41:04 /api/audit-logs .................................................................... ~ 524.01ms
  2026-06-19 00:41:05 /api/dashboard ..................................................................... ~ 508.57ms
  2026-06-19 00:41:36 /api/logout .......................................................................... ~ 1.31ms
  2026-06-19 00:41:36 /api/logout .......................................................................... ~ 0.22ms
  2026-06-19 00:41:57 /api/public/pengumuman ............................................................. ~ 507.03ms
  2026-06-19 00:41:57 /api/public/pengumuman ............................................................... ~ 0.20ms
  2026-06-19 00:57:02 /api/public/pengumuman ............................................................... ~ 0.95ms
  2026-06-19 00:57:02 /api/public/pengumuman ............................................................. ~ 515.82ms
  2026-06-19 00:58:38 /api/public/pengumuman ............................................................... ~ 1.32ms
  2026-06-19 00:58:39 /api/public/pengumuman ............................................................. ~ 502.18ms
  2026-06-19 01:00:58 /api/public/pengumuman ............................................................. ~ 504.41ms
  2026-06-19 01:00:58 /api/public/pengumuman ............................................................. ~ 511.80ms
